caption_id,caption,caption_rephrased
0,"This heartfelt ballad showcases a soulful and sad low-quality sustained strings melody intertwined with a mellow piano melody, and a soft female vocal, resulting in an emotionally charged and sonically rich experience for listeners.","I'm looking for music that features a soulful ballad with sustained strings, mellow piano, and soft female vocals, something that creates an emotionally charged and sonically rich experience."
1,"This song features an amateur recording with finger snipping and a male mid-range voice singing, enhanced by the use of reverb to create a dreamy and atmospheric sound.","I'm looking for music recommendations with a similar atmosphere and vocal style, featuring amateur recordings with finger-picked guitar and mid-range vocals accompanied by reverb effects."
2,"An eclectic mix of jazzy piano, groovy e-bass, digital drums and trumpet, with a touch of acoustic guitar and digital keyboard, set against a dynamic backing track, perfect for a medium tempo summer jam.","Recommend a song featuring an eclectic mix of jazzy piano, groovy e-bass, digital drums and trumpet, with a touch of acoustic guitar and digital keyboard, set against a dynamic backing track, perfect for a medium tempo summer jam."
3,"This instrumental track showcases a unique combination of white noise, slick drumming, and booming bass drops, serving as the perfect foundation for three unrelated tracks featuring electric guitar harmonies, bass guitar, and dynamic keyboard harmonies that are skilfully woven together with female lead vocalisations and male voice backup vocalisations.","I'm looking for a song that combines white noise, drumming, and bass drops with electric guitar harmonies, bass guitar, and keyboard harmonies featuring female lead vocals and male backup vocals."
5,This amateur recording features a steeldrum melody in a higher register creating a joyful and tropical atmosphere.,I'd love to hear some more upbeat tropical music with a similar steeldrum melody in a higher register.
6,"Featuring the intimate sound of solo live direct input acoustic guitar strumming, this track invites listeners into a world of airy suspended open chords and low fidelity, as ambient sounds and paper shuffling add an organic authenticity to the performance.","Recommend me songs with intimate acoustic guitar strumming, airy suspended chords, and organic authenticity, similar to this track that combines solo live direct input with ambient sounds and paper shuffling."
7,"This instrumental song features a dynamic combination of brass, double bass, strings, and percussion without the use of any vocals, creating a captivating and immersive listening experience.","I'd like to recommend an instrumental song featuring a dynamic combination of brass, double bass, strings, and percussion without vocals for a captivating and immersive listening experience."
8,"This is a beautiful folk song, embodying the traditional feel of a middle eastern song, featuring a powerful male voice accompanied by the rhythmic beats of the darbuka and the haunting melody of the oud instrument at a moderate tempo, surrounded by other enchanting middle eastern instruments.",I'm looking for music that sounds like a traditional Middle Eastern folk song with a powerful male vocalist accompanied by darbuka and oud at a moderate tempo.
10,"This beautiful Hindi song is enveloped in the soulful sounds of tablas and shrutibox, with the delicate melodies of the bansuri flute weaving in and out of a medium-tempo rhythm.","I'm looking for music recommendations similar to this beautiful Hindi song that features soulful tablas and shrutibox accompaniment, with delicate bansuri flute melodies woven into a medium-tempo rhythm."
12,"This raw and emotional cover of a classic ballad features a low quality, noisy sound and a passionate, muddy male vocal accompanied by an arpeggiated acoustic guitar melody that adds to the overall messy and muddy feel of the song.","""Recommend a song with a raw, emotional cover of a classic ballad featuring low-quality sound and passionate vocals accompanied by an arpeggiated acoustic guitar melody."""
13,"This alternative/indie track features intimate yet wide mixed vocals, a synth lead melody, punchy kick, noisy snare, claps, groovy bass guitar, tinny wide hi hats, and a short snare roll, all anchored by an easygoing and melancholic electric guitar melody.","I'm looking for alternative/indie tracks with similar instrumentation and atmosphere to this one: intimate vocals, synth leads, punchy drums, groovy bass, and melancholic guitar melodies."
14,"This atmospheric and cinematic piece features a calming combination of flute, string, and brass sounds layered over a synth pad drone, with cymbals adding a touch of depth and texture, all set to a slow tempo.","I'm looking for music similar to this atmospheric and cinematic piece that combines flute, strings, brass, and synth pads with cymbals at a slow tempo."
15,"This hard rock instrumental track features amplified electric guitar and stringed instruments, fast and vigorous rhythms, rapid solos with skilled vibrato, showcasing the intense dexterity earned through years of practice, all recorded at home with sonic power.","I'm looking for a hard rock instrumental track featuring amplified electric guitar and stringed instruments, fast and vigorous rhythms, rapid solos with skilled vibrato, showcasing intense dexterity earned through years of practice."
16,"This sad oriental ballad is brought to life by slow tempos, guitar-like instrumentals, harp accompaniment, and the powerful combination of a male lead singer and female backing vocalist, all anchored by the deep resonance of a bass line.","I'm looking for music that combines slow tempos, guitar-like instrumentals, harp accompaniment, and a powerful male-female vocal duo with prominent bass lines, similar to a sad oriental ballad."
17,"Get into the spirit of Christmas with this festive Celtic-inspired track, featuring an enchanting female vocal delivering melodic singing over a backdrop of strings, piano, harp, and dulcimer; a calming and positive composition that will undoubtedly stir up the holiday cheer within you!","""Recommend a festive Celtic-inspired track featuring enchanting female vocals and a mix of strings, piano, harp, and dulcimer that will evoke holiday cheer."""
